idx,sign_new,sign_del,sign_mut,lane_new,lane_del,lane_mut,pole_new,pole_del,pole_mut,dlnt_new,dlnt_del,dlnt_mut,brer_new,brer_del,brer_mut,lat,lon,alt,heading,qx,qy,qz,qw,image_name,iter_duration
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69916727682,2.02984729099,4.24683094025e-07,-0.372278664344,0,0,-0.203008433738,0.979176989023,./2010231204343010282-1-114929261.JPG,3213
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699167555138,2.02984712515,1.39325857162e-06,-0.369852679451,0,0,-0.185125602985,0.98271486766,./2010231204343010282-1-114929367.JPG,69
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699167835123,2.02984696594,2.95974314213e-06,-0.371012760909,0,0,-0.183694665956,0.98298335169,./2010231204343010282-1-114929473.JPG,71
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699168120582,2.02984679991,5.17535954714e-06,-0.37041884176,0,0,-0.184632241804,0.982807679705,./2010231204343010282-1-114929579.JPG,83
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699168406849,2.02984663297,8.02148133516e-06,-0.368633345398,0,0,-0.184007171308,0.98292490095,./2010231204343010282-1-114929685.JPG,67
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699168687535,2.02984647397,44.1931320792,-0.369749518761,0.00736593005826,-0.00858227116941,-0.183750282185,0.982907890645,./2010231204343010282-1-114929791.JPG,67
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699168974832,2.02984630935,44.1677273624,-0.370587367881,0.00735181067189,-0.00857483881013,-0.184162219392,0.982830962052,./2010231204343010282-1-114929897.JPG,59
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699169261562,2.02984614188,44.1421064185,-0.369120170627,0.00736270177855,-0.00858414247088,-0.183440968999,0.982965672856,./2010231204343010282-1-114930003.JPG,40
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699169548076,2.02984597471,44.1164174555,-0.36661988709,0.00737548853026,-0.0085987867013,-0.182211694819,0.983194060858,./2010231204343010282-1-114930113.JPG,263
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.699169833153,2.02984580436,44.0907732416,-0.363641992095,0.00741046602303,-0.00862106533867,-0.18074704308,0.983463913239,./2010231204343010282-1-114930219.JPG,72
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699170122411,2.02984564394,44.0644924995,-0.365077103471,0.00742957080004,-0.0086186769535,-0.181452605941,0.983333855658,./2010231204343010282-1-114930325.JPG,61
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699170409348,2.02984548191,44.0386615191,-0.365072672504,0.00743702730929,-0.00862032249509,-0.18145035888,0.983334199511,./2010231204343010282-1-114930431.JPG,67
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699170696587,2.02984531651,44.0136786466,-0.364890195955,0.00739051211304,-0.00860989624281,-0.181361066471,0.983351114092,./2010231204343010282-1-114930537.JPG,63
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69917098204,2.02984514776,43.9890887486,-0.36015958964,0.00732666385801,-0.00861667866473,-0.179034926206,0.983777702555,./2010231204343010282-1-114930643.JPG,88
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699171270375,2.02984498724,43.9634086918,-0.36355800161,0.0073171177009,-0.00859825571102,-0.180706622337,0.983472239787,./2010231204343010282-1-114930749.JPG,54
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699171556916,2.02984482135,43.9378906889,-0.362151694755,0.0073156010383,-0.00860432841574,-0.180014969782,0.983599033229,./2010231204343010282-1-114930855.JPG,64
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699171843513,2.02984465407,43.9124715235,-0.362077536452,0.00731744603019,-0.00860496038142,-0.179978478254,0.983605691833,./2010231204343010282-1-114930961.JPG,53
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699172136667,2.02984449792,43.8858756414,-0.367798447707,0.00732407941113,-0.0085795680166,-0.182791614672,0.983086961809,./2010231204343010282-1-114931069.JPG,42
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699172423009,2.02984432901,43.8606698792,-0.366746194835,0.00731506862411,-0.00858218739672,-0.182274377778,0.98318303842,./2010231204343010282-1-114931174.JPG,338
